clade_short,r.squared,r.squared.adj,intercept,slope,p,p.intercept,p.slope,slr.status
Methanobrevibacter_smithii,0.018631188422158846,0.006948226379565492,0.29273744186046435,0.532473720930234,0.21014574110052675,0.32900020742706637,0.21014574110052528,irrelevant
Bifidobacterium_adolescentis,0.023861900538342938,0.012241208878085108,0.43923046511627906,0.625213023255814,0.1555783400564913,0.1582396969915717,0.15557834005649135,irrelevant
Bifidobacterium_pseudocatenulatum,0.02004396737470578,0.008377824129166656,0.7212490697674419,0.5380520930232559,0.19350611961945408,0.014944100277896203,0.19350611961945408,irrelevant
Collinsella_aerofaciens,0.015595770088685314,0.0038766721135505833,0.7482397674418606,0.2811318604651162,0.251934886530073,3.91892809551528e-5,0.251934886530073,irrelevant
Bacteroides_fragilis,4.64325498334435e-4,-0.011434908721923431,1.1219576744186044,-0.11979930232558116,0.8438833848876752,0.010537717091286656,0.8438833848876752,irrelevant
Prevotella_copri,0.03561642663514292,0.024135669809370763,16.050206511627902,-6.589408372093022,0.08182199475578278,3.605480160473508e-8,0.0818219947557828,irrelevant
Prevotella_sp_CAG_520,0.010494047605251825,-0.0012857851613521376,0.6209169767441859,-0.3339844186046511,0.3479543252532372,0.015074019315411044,0.34795432525323755,irrelevant
Eubacterium_sp_CAG_180,0.0015899498021813825,-0.010295884128745048,1.58318976744186,-0.25220325581395314,0.7154757645432037,0.0016769553543219923,0.715475764543204,irrelevant
Eubacterium_sp_CAG_251,0.014232595912325634,0.0024972696731866417,0.9712593023255812,-0.4602181395348835,0.27392410080718577,0.001479992887276427,0.27392410080718604,irrelevant
Anaerostipes_hadrus,0.011422087410591681,-3.466972630916665e-4,0.6994339534883721,0.27444651162790695,0.3273744740133858,6.326218382953401e-4,0.3273744740133857,irrelevant
Ruminococcus_gnavus,0.014958370487740775,0.0032316844221186303,1.1689706976744187,-0.5342806976744188,0.2619367547658735,7.603796454490407e-4,0.26193675476587325,irrelevant
Coprococcus_comes,1.2054358987208466e-6,-0.011903542118435695,0.8182853488372094,-0.001755348837209329,0.9919951702841123,2.9984197810408843e-9,0.9919951702841125,irrelevant
Fusicatenibacter_saccharivorans,0.04256787769550278,0.031169876239496852,1.4841844186046513,1.5080188372093022,0.056663970906896566,0.008622303849485605,0.05666397090689661,irrelevant
Oscillibacter_sp_57_20,0.014323015730192123,0.0025887659174563815,0.48413651162790694,0.22242534883720927,0.2723943268889526,0.001030331507652088,0.27239432688895293,irrelevant
Faecalibacterium_prausnitzii,6.247471975965904e-4,-0.011272577240527104,8.100081162790698,0.29445604651162793,0.8193062183172668,8.80775670946625e-14,0.819306218317267,irrelevant
Eubacterium_siraeum,0.007099241816304231,-0.004721005304930248,0.6695511627906974,-0.3988434883720936,0.4405253057747659,0.0693183116024556,0.44052530577476623,irrelevant
Acidaminococcus_intestini,0.010872653858094215,-9.02671691214163e-4,0.63507488372093,-0.5888251162790694,0.339356854133978,0.14647272673115552,0.3393568541339784,irrelevant
Phascolarctobacterium_succinatutens,0.03300274975447075,0.021490877727738278,0.3610502325581396,0.6677879069767441,0.09412766301592967,0.19899489728115607,0.09412766301592973,irrelevant
Dialister_sp_CAG_357,1.9319196774207062e-4,-0.011709270032641994,1.4328844186046512,0.0785379069767444,0.8989267558245322,0.0014785141140438096,0.8989267558245319,irrelevant
Escherichia_coli,3.303402152890003e-5,-0.011871334621071927,2.7663267441860455,0.07689418604651212,0.9581137114308843,0.008855669651268813,0.9581137114308849,irrelevant
Klebsiella_pneumoniae,0.05355306075160574,0.042285835284362916,0.22881279069767427,0.5621381395348839,0.032045156914571216,0.21296731534039606,0.0320451569145712,positive
